"keys","en","zh","ru","ko",""
"SHORT_DESCRIPTION","Immerse yourself in SurvivalScape, a fast-paced auto-shooter bullet hell! Select your hero from a diverse roster, each boasting unique abilities and play-styles. Battle relentless waves of enemies, gather crystals to level up, and face off against formidable bosses. Can you survive?","让自己沉浸在 SurvivalScape 中，这是一个快节奏的自动射击子弹地狱！从多样化的名单中选择你的英雄，每个都拥有独特的能力和游戏风格。与一波又一波的敌人战斗，收集水晶以提升等级，并与强大的首领对峙。你能活下来吗？","Погрузитесь в SurvivalScape, динамичный пулевой ад! Выберите своего героя из обширного списка, каждый из которых может похвастаться уникальными способностями и стилями игры. Сражайтесь с безжалостными волнами врагов, собирайте кристаллы для повышения уровня и сражайтесь с грозными боссами. Сможете ли вы выжить?","빠르게 진행되는 자동 슈팅 탄막 지옥인 SurvivalScape에 푹 빠져보세요! 각각 고유한 능력과 플레이 스타일을 자랑하는 다양한 명단에서 영웅을 선택하십시오. 쉴 새 없이 몰려오는 적과 싸우고, 크리스탈을 모아 레벨을 올리고, 강력한 보스와 맞서세요. 당신은 살아남을 수 있습니까?",""
"DESC_TAGLINE","Easy to Learn, Difficult to Master","易学难精通","Легко освоить, трудно стать лучшим","배우기는 쉽지만 마스터하기는 어렵습니다.",""
"DESCRIPTION","SurvivalScape is a thrilling survival-based auto shooter where your goal is to defeat enemies, collect crystals, and level up to become the ultimate hero. Climb the leaderboards and challenge your friends for the top score.","SurvivalScape 是一款惊心动魄的基于生存的自动射击游戏，你的目标是击败敌人，收集水晶，然后升级成为终极英雄。登上排行榜，挑战你的朋友，争夺最高分。","SurvivalScape – это захватывающий автошутер, основанный на выживании, в котором ваша цель – побеждать врагов, собирать кристаллы и повышать уровень, чтобы стать абсолютным героем. Поднимайтесь в списках лидеров и бросайте вызов своим друзьям за лучший результат.","SurvivalScape는 적을 물리치고, 크리스탈을 수집하고, 레벨을 올려 궁극의 영웅이 되는 것이 목표인 스릴 넘치는 생존 기반 자동 슈팅 게임입니다. 순위표에 오르고 최고 점수를 위해 친구들에게 도전하세요.",""
"HEADER_FEATURES","Features","特征","Особенности","기능",""
"FEATURE_BOSSES","Unique Bosses","独特的老板","Уникальные боссы","유니크 보스",""
"FEATURE_CLASSES","Multiple Classes","多个班级","Несколько классов","여러 클래스",""
"FEATURE_MAPS","Unlockable Maps","可解锁的地图","Разблокируемые карты","잠금 해제 가능한 지도",""
"FEATURE_BOSSRUSH","Boss Rush Mode","Boss Rush 模式","Режим Boss Rush","보스 러시 모드",""
"FEATURE_CHALLENGE","Weekly Challenge","每周挑战","Еженедельное испытание","주간 챌린지",""
"FEATURE_CONTROLLER","Controller Support","控制器支持","Поддержка контроллеров","컨트롤러 지원",""
"FEATURE_ULTRAWIDE","Ultra-wide Support","超宽支持","Поддержка сверхшироких экранов","울트라 와이드 지원",""
"FEATURE_TWITCH","Twitch Integration - Have Twitch chat choose your upgrades!","Twitch 集成 - 让 Twitch 聊天选择您的升级！","Интеграция с Twitch - Пусть чат Twitch выбирает ваши улучшения!","Twitch 통합 - Twitch 채팅에서 업그레이드를 선택하세요!",""
"HEADER_OBELISK","Obelisks of Power","权力方尖碑","Обелиски Силы","힘의 오벨리스크",""
"OBELISK_DESC","Capture and hold an Obelisk of Power for ten seconds to immediately level up your hero.","捕获并按住力量方尖碑十秒钟，立即升级您的英雄。","Захватите и удерживайте обелиск силы в течение десяти секунд, чтобы мгновенно повысить уровень своего героя.","힘의 오벨리스크를 점령하고 10초 동안 누르고 있으면 즉시 영웅의 레벨이 올라갑니다.",""
"HEADER_META","No Meta Progression","无元进展","Нет мета-прогрессии","메타 진행 상황 없음",""
"META_DESC","Every run you go from zero to hero, ensuring every player begins with the same advantage. Gain power as you progress, keeping the playing field level for fair scoring.","每一次奔跑，你都是从零到英雄，确保每个玩家都以相同的优势开始。随着你的进步获得力量，保持公平的竞争环境，以获得公平的得分。","Каждый заход вы начинаете с нуля и становитесь героем, гарантируя, что каждый игрок начинает с одинаковым преимуществом. Набирайте силу по мере продвижения, сохраняя игровое поле равным для справедливого подсчета очков.","0에서 영웅으로 달릴 때마다 모든 플레이어가 동일한 이점을 가지고 시작할 수 있습니다. 진행하면서 힘을 얻고 공정한 점수를 위해 경기장을 평평하게 유지하십시오.",""
"HEADER_CHALLENGE","Weekly Challenge","每周挑战","Еженедельные испытания","주간 챌린지",""
"CHALLENGE_DESC","The weekly challenge randomly selects a map and class, eliminating all random elements. No health potions, no obelisks, no rerolls—just a pure test of skill.","每周挑战随机选择一张地图和类别，消除所有随机元素。没有健康药水，没有方尖碑，没有重掷——只是对技能的纯粹考验。","Еженедельное испытание случайным образом выбирает карту и класс, исключая все случайные элементы. Никаких зелий здоровья, никаких обелисков, никаких рероллов — только чистое испытание мастерства.","주간 챌린지는 맵과 클래스를 무작위로 선택하여 모든 무작위 요소를 제거합니다. 체력 물약도, 오벨리스크도, 새로고침도 없이, 그저 순수한 실력 시험일 뿐입니다.",""
"HEADER_BOSSRUSH","Boss Rush","老板冲刺","Boss rush","보스 러쉬",""
"BOSSRUSH_DESC","After clearing a level, you'll unlock Boss Rush mode for that map. Instantly level up to the max and defeat the boss as quickly as possible to achieve the highest score!","通关后，您将解锁该地图的 Boss Rush 模式。立即升级到最高等级，并尽快击败老板，以获得最高分！","После прохождения уровня вы разблокируете режим Boss Rush для этой карты. Мгновенно повышайте уровень до максимума и побеждайте босса как можно быстрее, чтобы набрать наибольшее количество очков!","레벨을 클리어하면 해당 맵의 Boss Rush 모드가 잠금 해제됩니다. 즉시 최대까지 레벨을 올리고 가능한 한 빨리 보스를 물리쳐 가장 높은 점수를 달성하세요!",""
